frame_number,num_outfielders_detected,catcher_player_id,catch_distance_px,player_0_x,player_0_y
300,0,-1,,,
301,0,-1,,,
302,0,-1,,,
303,0,-1,,,
304,0,-1,,,
305,0,-1,,,
306,0,-1,,,
307,0,-1,,,
308,0,-1,,,
309,0,-1,,,
310,0,-1,,,
311,0,-1,,,
312,0,-1,,,
313,0,-1,,,
314,0,-1,,,
315,0,-1,,,
316,0,-1,,,
317,0,-1,,,
318,0,-1,,,
319,0,-1,,,
320,0,-1,,,
321,0,-1,,,
322,0,-1,,,
323,0,-1,,,
324,0,-1,,,
325,0,-1,,,
326,0,-1,,,
327,0,-1,,,
328,0,-1,,,
329,0,-1,,,
330,0,-1,,,
331,0,-1,,,
332,0,-1,,,
333,0,-1,,,
334,0,-1,,,
335,0,-1,,,
336,0,-1,,,
337,0,-1,,,
338,0,-1,,,
339,0,-1,,,
340,0,-1,,,
341,0,-1,,,
342,0,-1,,,
343,0,-1,,,
344,0,-1,,,
345,0,-1,,,
346,0,-1,,,
347,0,-1,,,
348,0,-1,,,
349,0,-1,,,
350,0,-1,,,
351,0,-1,,,
352,0,-1,,,
353,0,-1,,,
354,0,-1,,,
355,1,-1,,562.0,433.0
356,1,-1,,562.0,434.0
357,1,-1,,562.0,436.0
358,1,-1,,563.0,437.0
359,1,-1,,563.0,438.0
360,1,-1,,563.0,439.0
361,1,-1,,563.0,441.0
362,1,-1,,562.0,442.0
363,1,-1,,562.0,442.0
364,1,-1,,561.0,443.0
365,1,-1,,560.0,444.0
366,1,-1,,559.0,444.0
367,1,-1,,560.0,445.0
368,1,-1,,561.0,445.0
369,1,-1,,562.0,446.0
370,1,-1,,563.0,446.0
371,1,-1,,565.0,446.0
372,1,-1,,565.0,446.0
373,1,-1,,566.0,447.0
374,1,-1,,567.0,447.0
375,1,-1,,567.0,446.0
376,1,-1,,568.0,446.0
377,1,-1,,569.0,445.0
378,1,-1,,571.0,444.0
379,1,-1,,571.0,442.0
380,1,-1,,571.0,441.0
381,1,-1,,571.0,439.0
382,1,-1,,572.0,437.0
383,1,-1,,573.0,436.0
384,1,0,24.331050121192877,573.0,433.0
385,1,0,26.076809620810597,574.0,432.0
386,1,-1,,575.0,431.0
387,1,-1,,575.0,430.0
388,1,-1,,575.0,428.0
389,1,-1,,576.0,426.0
390,1,-1,,577.0,425.0
391,1,-1,,579.0,422.0
392,1,-1,,581.0,420.0
393,1,-1,,584.0,418.0
394,1,-1,,586.0,416.0
395,1,-1,,587.0,416.0
396,1,-1,,589.0,414.0
397,1,-1,,591.0,414.0
398,1,-1,,593.0,414.0
399,1,-1,,594.0,414.0
400,1,-1,,595.0,413.0
401,1,-1,,594.0,412.0
402,1,-1,,594.0,409.0
403,1,-1,,594.0,407.0
404,1,0,37.656340767525464,595.0,406.0
405,1,0,38.05259518088089,595.0,396.0
406,1,0,41.19465984809196,597.0,401.0
407,1,-1,,599.0,402.0
408,1,-1,,600.0,401.0
409,1,-1,,601.0,401.0
410,1,-1,,600.0,401.0
411,1,-1,,598.0,403.0
412,1,-1,,598.0,406.0
413,1,-1,,598.0,409.0
414,1,-1,,599.0,413.0
415,1,-1,,602.0,417.0
416,1,-1,,602.0,419.0
417,1,-1,,603.0,419.0
418,1,-1,,604.0,419.0
419,1,-1,,605.0,419.0
