"play_id","player_id","pos_x","pos_y","event_code","event_description"
"L95ZVYMD4OYLXDVC","GxsICkQk",-41.657959978973,326.543053219357,4,"Ball was caught"
"L95ZVYMD4OYLXDVC","2K16xbW1",121.585682048309,242.783693753251,4,"Ball was caught"
"OPT71U27XNF3VGCZ","YY8CmW8K",9.6505892698793,226.995265738742,4,"Ball was caught"
"OPT71U27XNF3VGCZ","1X1RqhAE",-66.0551459973383,252.397099167896,4,"Ball was caught"
"OPT71U27XNF3VGCZ","2bPZs17r",22.3934658631654,236.178277888688,4,"Ball was caught"
"UL6PSMMJB5YHJ4EH","VmXNLZX8",-68.6976433194391,292.452382326114,4,"Ball was caught"
"UL6PSMMJB5YHJ4EH","vIqsAVJB",88.2675931494328,210.93935476796,4,"Ball was caught"
"UL6PSMMJB5YHJ4EH","Edvypxe2",-94.1844606166032,236.55262144404,4,"Ball was caught"
"O5E2XD0JKUQ41FNC","Jr0phkwH",134.000133639103,239.487142260652,3,"Ball was hit"
"O5E2XD0JKUQ41FNC","vR85X42o",5.78521283953684,313.746814668081,3,"Ball was hit"
"O5E2XD0JKUQ41FNC","5KEgenlB",-118.990514302719,258.381565045134,3,"Ball was hit"
"6Z4EEP3AJXE1R96X","cc0D3AQC",104.076845403623,244.834629671463,4,"Ball was caught"
"6Z4EEP3AJXE1R96X","zR2rm30Z",-41.1148313933617,305.001824430109,4,"Ball was caught"
"6Z4EEP3AJXE1R96X","nZ7MwgY6",-81.2300632769673,319.26669364023,4,"Ball was caught"
"PZ4UPSJVEJHXBNG4","J7qLW9bG",-16.82370023743,321.728784111558,3,"Ball was hit"
"PZ4UPSJVEJHXBNG4","2XIzlQbi",123.699328828942,271.51741145877,3,"Ball was hit"
"PZ4UPSJVEJHXBNG4","tvfDM3iH",-137.864194648469,240.861355093868,3,"Ball was hit"
"M8C78E2ZMSQIUABF","hw3j6Qn0",118.370352280432,243.884191549292,3,"Ball was hit"
"M8C78E2ZMSQIUABF","EvrXEozB",3.59903619435903,310.983174509726,3,"Ball was hit"
"M8C78E2ZMSQIUABF","n7pH0UVS",-122.195090360867,264.56129292816,3,"Ball was hit"
"QAU3VY96J35JIL6J","Edvypxe2",-124.87174269477,245.201425853381,3,"Ball was hit"
"QAU3VY96J35JIL6J","cHbWR7Z9",118.174516988741,240.645779651836,3,"Ball was hit"
"QAU3VY96J35JIL6J","VmXNLZX8",0.53991385608093,299.309274838889,3,"Ball was hit"
"LTIRP66UKF81MGGX","70ytZueI",101.832845233491,347.314382022484,4,"Ball was caught"
"LTIRP66UKF81MGGX","CT0TqSf7",106.954304974874,338.313229696007,4,"Ball was caught"
"LTIRP66UKF81MGGX","GxsICkQk",-121.258801961009,234.652587971798,4,"Ball was caught"
"25AV9W20V24TLBFL","Ka5oDbkZ",-181.464985778307,183.372585700777,4,"Ball was caught"
"25AV9W20V24TLBFL","Jr0phkwH",-79.256546806566,281.88392666709,4,"Ball was caught"
"25AV9W20V24TLBFL","BsE38GWS",137.382923374069,259.911530039567,4,"Ball was caught"
